ticker_byma,nombre_empresa,puntaje_tecnico,tendencia,cruce_reciente,tipo_cruce,divergencia_rsi,divergencia_macd,distancia_media_pct,roc_20d_pct,macd_hist_pct,volumen_relativo,ad_normalizado,rsi_actual,patron_piso
HOG,Harley-Davidson Inc.,48.33,1,False,ninguno,ninguna,ninguna,14.92,-8.27,-0.95,10.37,-0.29,28.38,False
SONY,Sony Group Corporation,48.33,1,False,ninguno,ninguna,ninguna,8.31,-3.79,-0.74,0.67,-0.23,38.61,False
AEM,Agnico Eagle Mines Limited,47.42,1,True,dorado,ninguna,ninguna,8.97,-9.46,-0.93,0.24,0.05,40.96,False
AXP,American Express Co,47.11,1,False,ninguno,ninguna,ninguna,-3.32,-7.85,-0.48,1.1,-0.09,34.47,False
ABT,Abbott Labs,46.96,1,False,ninguno,ninguna,ninguna,2.69,-8.39,-0.32,2.08,-0.28,24.0,False
LYG,Lloyds Banking Group Plc,46.96,1,False,ninguno,ninguna,bajista,6.3,-4.37,-0.49,0.55,-0.45,38.98,False
HMY,Harmony Gold Mining Company Ltd.,45.44,1,False,ninguno,ninguna,bajista,7.17,-11.12,-1.3,1.08,-0.14,39.93,False
IBM,International Business Machines,44.68,0,False,ninguno,alcista,ninguna,-6.76,-3.82,-0.4,1.91,-0.06,46.76,False
MDT,Medtronic Public Limited Company,43.92,1,False,ninguno,ninguna,ninguna,5.32,-1.11,-0.71,0.33,-0.23,34.94,False
URBN,Urban Outfitters INC.,43.92,1,False,ninguno,ninguna,ninguna,9.18,-4.74,-0.57,0.49,-0.45,33.83,False
AAP,Advanced Auto Parts Inc,43.47,0,True,de la muerte,ninguna,ninguna,-15.18,-3.44,0.65,0.26,0.17,43.18,False
KMB,Kimberly-Clark Corp.,43.16,1,False,ninguno,bajista,bajista,0.41,-10.37,-0.13,0.55,-0.28,34.73,False
PCAR,Paccar Inc.,43.16,1,False,ninguno,ninguna,ninguna,-2.93,-11.87,-0.85,2.32,-0.02,10.94,False
GS,"The Goldman Sachs Group, Inc",43.01,1,False,ninguno,ninguna,ninguna,1.55,-10.24,-0.7,0.59,-0.01,21.74,False
CDE,Coeur Mining Inc.,41.19,1,True,dorado,ninguna,ninguna,4.73,-13.9,-1.37,0.23,0.1,35.56,False
ARCO,Arcos Dorados Holdings Inc.,40.73,1,False,ninguno,ninguna,ninguna,-6.13,-7.24,-0.8,1.4,-0.18,22.76,False
HWM,Howmet Aerospace Inc.,39.97,1,False,ninguno,ninguna,ninguna,-1.72,-12.9,0.3,0.4,-0.3,30.31,False
HD,The Home Depot Inc.,39.21,1,False,ninguno,ninguna,ninguna,-9.35,-10.85,-0.28,1.07,-0.46,27.9,False
SBUX,Starbucks Corporation,37.23,1,False,ninguno,bajista,bajista,0.42,-12.1,-0.65,0.52,-0.11,14.62,False
IBN,Icici Bank Ltd.,36.78,1,False,ninguno,ninguna,bajista,2.57,-6.14,-0.5,0.35,-0.42,25.24,False
PHG,Koninklijke Philips N.V.,35.56,0,True,de la muerte,alcista,ninguna,-5.65,-8.31,-0.08,0.21,0.63,34.67,False
CAH,Cardinal Health Inc,35.56,1,False,ninguno,bajista,bajista,8.45,-4.48,-0.8,0.23,-0.52,16.67,False
ERIC,Lm Ericsson Telephone Co.,35.56,0,False,ninguno,alcista,ninguna,-7.61,-4.85,-0.41,0.05,0.44,42.07,False
ADBE,Adobe Systems Incorporated,34.35,1,True,dorado,ninguna,ninguna,-3.69,-16.79,-1.33,0.32,-0.01,31.37,False
SID,Companhia Siderúrgica Nacional,34.04,0,False,ninguno,ninguna,ninguna,-11.83,5.67,-1.67,0.12,0.04,42.51,False
SI,Silvergate Bancorp,34.04,0,False,ninguno,ninguna,ninguna,-11.83,5.67,-1.67,0.12,0.04,42.51,False
TM,Toyota Motor Corporation,33.89,0,False,ninguno,ninguna,ninguna,-1.79,-2.58,-0.53,0.67,-0.15,36.84,False
WBO,Weibo Corporation,31.69,0,True,de la muerte,ninguna,ninguna,-4.22,-4.25,-0.28,20.0,-0.72,0.0,False
SNAP,Snap Inc.,30.7,0,False,ninguno,ninguna,ninguna,-1.47,-0.58,-0.92,0.05,-0.12,46.92,False
NFLX,"Netflix, Inc.",30.7,0,False,ninguno,ninguna,ninguna,-9.89,-9.1,-1.13,0.66,0.1,37.05,False
ORCL,Oracle Corporation,29.03,0,False,ninguno,ninguna,ninguna,-9.96,-7.04,-0.84,2.11,-0.19,33.57,False
HL,Hecla Mining Co .,26.29,0,False,ninguno,bajista,bajista,-0.73,-15.51,-1.64,1.59,-0.12,33.79,False
MCD,Mcdonald'S Corp.,24.77,0,False,ninguno,ninguna,ninguna,-13.38,-7.83,-0.46,1.01,-0.34,32.58,False
FDX,Fedex Corp,17.78,0,True,de la muerte,ninguna,ninguna,-11.45,-15.16,-1.03,1.33,-0.39,15.84,False
KGC,Kinross Gold Corp,16.87,0,False,ninguno,ninguna,ninguna,-12.32,-24.49,-2.19,5.31,-0.56,21.19,False
INFY,Infosys Limited,15.05,0,False,ninguno,ninguna,ninguna,-18.02,-10.71,-0.57,0.18,-0.22,32.0,False
NG,Novagold Resources INC.,13.53,0,False,ninguno,ninguna,ninguna,-11.73,-20.68,-1.2,0.07,-0.21,38.68,False
CAR,Avis Budget Group Inc.,8.05,0,False,ninguno,ninguna,ninguna,-30.32,-25.41,-1.82,0.36,-0.25,15.5,False
