ticker_byma,nombre_empresa,puntaje_financiero,n_metricas,pe,ev_ebitda,roe,deuda_ebitda,crecimiento_ingresos
VIVT3,Telefônica Brasil S.A.,59.29,5,14.77,5.37,0.1,0.99,0.08
MUFG,Mitsubishi Ufj Financial Group,59.29,3,15.51,,0.09,,0.29
AMZN,"Amazon.Com, Inc.",59.22,5,20.66,17.16,0.31,1.49,0.2
NUE,Nucor Corp,59.14,5,20.72,11.34,0.15,1.25,0.23
GSK,GSK Plc.,59.11,5,15.09,10.27,0.33,1.69,0.05
SNAP,Snap Inc.,59.07,3,,-76.38,-0.16,,0.19
BSBR,Banco Santander (Brasil) S.A.,59.0,3,17.2,,0.11,,0.29
SBSP3,Cia Saneamento Básico de SP,58.99,5,11.46,8.52,0.19,3.4,0.14
BBDC3,Banco Bradesco S.A.,58.87,3,7.45,,0.14,,0.07
LLY,Eli Lilly and Company,58.79,5,37.45,24.95,1.02,1.32,0.48
LMT,Lockheed Martin Corporation,58.55,5,19.34,14.23,0.89,2.12,0.1
BBD,Banco Bradesco S.A.,58.32,3,8.37,,0.14,,0.07
MSFT,Microsoft Corp.,58.28,5,27.63,19.22,0.34,0.66,0.18
HDB,Hdfc Bank Limited.,58.03,3,16.21,,0.14,,0.17
TEM,TEMPUS AI INC,57.45,3,,-58.31,-0.67,,0.22
CCL,Carnival,57.42,5,10.25,7.55,0.27,3.58,0.05
NFLX,"Netflix, Inc.",57.17,5,24.34,22.4,0.5,1.13,0.13
UBER,Uber Technologies Inc.,56.97,5,15.72,20.98,0.37,1.97,0.12
E,Eni Spa,56.95,5,12.54,8.2,0.11,2.79,0.18
PLTR,Palantir Technologies Inc,56.75,5,142.93,147.51,0.38,0.08,0.93
ADS,Adidas AG,56.67,5,18.32,11.19,0.24,2.24,0.13
V,Visa Inc,56.63,5,31.55,22.24,0.61,0.77,0.14
HON,Honeywell International Inc.,56.54,5,7.78,10.6,0.47,4.11,0.04
ADP,Automatic Data Processing Inc.,56.5,5,24.5,16.82,0.72,0.86,0.07
AVY,Avery Dennison Corp.,56.46,5,18.51,10.86,0.31,2.46,0.11
LRCX,Lam Research Corp,55.93,5,51.77,43.02,0.65,0.48,0.3
MA,Mastercard Inc.,55.93,5,31.34,23.05,2.41,1.11,0.14
AAPL,Apple Inc.,55.9,5,38.15,29.0,1.49,0.5,0.16
SPOT,Spotify Technology S.A.,55.78,5,28.4,37.86,0.44,0.17,0.14
AVGO,Broadcom Inc.,55.74,5,46.05,33.74,0.44,1.14,0.86
USB,U.S. Bancorp,55.54,3,12.54,,0.13,,0.1
KMB,Kimberly-Clark Corp.,55.41,5,19.4,11.02,1.05,1.88,0.01
RENT3,Localiza Rent A Car S.A.,55.27,5,11.37,8.57,0.13,5.25,0.24
EBAY,Ebay Inc.,54.92,5,22.08,16.73,0.47,2.31,0.15
AIG,American International Group (AIG),54.78,5,13.75,4.67,0.07,1.12,0.0
IBN,Icici Bank Ltd.,54.52,3,18.03,,0.16,,0.11
ROST,"Ross Stores, Inc.",54.34,5,27.93,20.28,0.43,1.3,0.13
LYG,Lloyds Banking Group Plc,54.3,3,13.98,,0.11,,0.12
TGT,Target Corporation,54.27,5,16.15,9.84,0.26,2.23,0.05
PEP,Pepsico Inc,54.22,5,17.87,12.11,0.52,2.82,0.06
MO,Altria Group Inc.,54.09,4,14.52,8.74,,1.56,0.01
STLA,Stellantis,53.91,3,,-115.88,-0.29,,0.13
AMAT,Applied Materials Inc.,53.9,5,39.22,35.49,0.41,0.72,0.25
HOOD,Robinhood Markets Inc,53.86,3,49.81,,0.24,,0.32
C,Citigroup Inc,53.85,3,14.98,,0.09,,0.16
WFC,Wells Fargo & Co.,53.85,3,13.12,,0.13,,0.1
